Date,Area,WSA,TA,DA,RHA,RA,UVA,PSA,WDA
1-Jan-18,5489117.3,1.17,19.65,16.48,82.62,0,0.91,99.94,146.38
2-Jan-18,5489117.3,0.81,18.73,15.8,83.38,3.68,0.66,99.74,169.31
3-Jan-18,5489117.3,1.33,17.4,14.8,85.19,8.19,0.49,99.91,215.38
4-Jan-18,5489117.3,1.07,16.48,13.4,82.75,0.6,0.78,100.16,123.25
5-Jan-18,5489117.3,1.49,16.53,13.31,82.19,0,0.79,99.96,157.31
6-Jan-18,5489117.3,1.3,15.17,12.1,82.38,0,0.8,99.91,184.88
7-Jan-18,5489117.3,1.3,13.45,8.46,73,0,0.85,100.11,173.56
8-Jan-18,5489117.3,1.42,13.17,8.33,73.81,0,0.74,100.34,149.25
9-Jan-18,5489117.3,1.3,14.15,9.41,74.19,0,0.74,100.45,158.56
10-Jan-18,5889364.3,1.3,14.45,10.73,79,0,0.8,100.46,150.06
11-Jan-18,5889364.3,1.23,14.8,11.64,82.31,0,0.7,100.35,159.5
12-Jan-18,5889364.3,1.32,15.73,12.44,82.19,0,0.64,100.26,153
13-Jan-18,5889364.3,1.3,15.33,12.49,84.31,0,0.61,100.26,163.06
14-Jan-18,5889364.3,1.25,16.42,12.89,81.19,0,0.64,100.27,132.06
15-Jan-18,5889364.3,1.17,16.13,13.71,85.88,0.01,0.68,100.19,160.5
16-Jan-18,5889364.3,1.3,17.16,14.15,83.5,0,0.71,100.12,149.62
17-Jan-18,5889364.3,1.3,17.44,14.86,84.81,0,0.91,100.13,166.44
18-Jan-18,5889364.3,1.28,18.43,14.79,80.06,0,1.02,100.12,170.69
19-Jan-18,5889364.3,1.29,18.15,15.08,83,0,1.09,100.2,167
20-Jan-18,4792886.7,1.19,17.36,14.19,82.06,0,1.06,100.13,182.75
21-Jan-18,4792886.7,1.19,17.83,14.42,81,0,1.05,100.08,143.75
22-Jan-18,4401163.1,1.31,18.22,14.94,82,0,1.07,99.97,154.25
23-Jan-18,4401163.1,1.38,17.9,14.76,82.56,0,1.06,99.88,158.5
24-Jan-18,4401163.1,1.3,17.23,14.77,85.75,0,1.32,99.73,172.38
25-Jan-18,4401163.1,1.16,17.65,13.08,75.19,0,0.82,99.82,199.81
26-Jan-18,4401163.1,1.42,16.27,11.06,72.12,0,1.02,99.89,172
27-Jan-18,4401163.1,1.4,14.94,9.26,69.69,0,1.07,100.03,218.94
28-Jan-18,4401163.1,1.45,13.76,8.14,70.19,0,1.15,100.22,169.06
29-Jan-18,4401163.1,1.41,14.15,8.15,68.19,0,1.11,100.3,167.62
30-Jan-18,4401163.1,1.28,14.41,8.76,69.56,0,0.93,100.18,136.25
31-Jan-18,4401163.1,1.31,15.23,10.49,74.25,0,0.76,100.12,99.75
1-Feb-18,3671192.5,1.28,16.71,12.24,75.5,0,0.66,100.05,134.31
2-Feb-18,3671192.5,1.07,18.26,14.66,80.19,0,0.84,100.07,149.25
3-Feb-18,3749797.6,1.21,17.97,15.04,83.69,0,0.9,100.2,163.44
4-Feb-18,3749797.6,1.35,18.29,15.7,85.25,0,0.84,100.16,146.44
5-Feb-18,3749797.6,1.22,19.03,15.97,83.12,0,0.85,100.43,136.44
6-Feb-18,3749797.6,1.33,19.18,16.28,83.75,0,0.97,100.21,164
7-Feb-18,3749797.6,1.27,18.94,14.47,76,0,0.99,99.97,213.75
8-Feb-18,3749797.6,1.39,18.56,14.37,77.12,0,0.95,99.88,190.56
9-Feb-18,3749797.6,1.44,18.51,13.42,72.75,0,1.09,99.97,177.56
10-Feb-18,3749797.6,1.23,19.36,13.95,71.75,0,0.93,100.26,135.69
11-Feb-18,3749797.6,1.27,18.55,11.51,64.5,0,1.08,100.45,151.19
12-Feb-18,3749797.6,1.39,19.83,13.34,67,0,1.57,100.46,164.94
13-Feb-18,3246589.4,1.34,20.58,14.28,68.44,0,1.48,100.51,165.94
14-Feb-18,3246589.4,1.46,19.7,15.03,75.38,0.01,1.42,100.44,188.88
15-Feb-18,3246589.4,1.38,19.41,14.34,73.69,0.01,1.23,100.53,187.62
16-Feb-18,3246589.4,1.52,19.85,14.81,74.31,0,1.23,100.29,156.75
17-Feb-18,3246589.4,1.38,18.94,13.23,70.62,0,1.4,99.97,143.94
18-Feb-18,3246589.4,1.29,19.46,12.88,66.94,0,1.3,99.97,165.56
19-Feb-18,3246589.4,1.31,20.53,13.19,64.12,0,1.46,100.08,164.19
20-Feb-18,3246589.4,1.34,20.37,14.71,71.31,0,1.27,100.06,165.69
21-Feb-18,3246589.4,1.31,20.79,14.72,69.31,0,1.27,99.85,167.12
22-Feb-18,3246589.4,1.26,20.93,13.74,64.69,0,1.09,99.81,138.19
23-Feb-18,3246589.4,1.23,21.36,15.22,69.44,1.15,1.12,99.95,110.38
24-Feb-18,3246589.4,1.14,22.63,17.62,74.38,12.91,1.12,100.17,101.5
25-Feb-18,3359327.1,1.02,23.38,17.78,71.56,0.31,1.52,100.11,110.44
26-Feb-18,3359327.1,1.17,21.8,17.83,78.94,38.23,1.15,99.94,116.12
27-Feb-18,3359327.1,1.2,21.86,15.95,70.19,0.03,1.26,99.99,159.62
28-Feb-18,3359327.1,1.27,22.18,17,73.12,0,1.27,99.94,163.38
1-Mar-18,3359327.1,1.38,22.36,17.18,73.25,0,1.27,99.84,174.62
2-Mar-18,3359327.1,1.19,22.92,17.19,70.69,0.23,1.3,99.72,159.56
3-Mar-18,3359327.1,1.64,22.81,18.11,75.5,0.47,1.36,99.46,164.94
4-Mar-18,3359327.1,1.34,23.54,19.16,77.5,0.03,1.57,99.65,173.19
5-Mar-18,3359327.1,1.02,24.08,18.96,73.44,0.27,1.41,99.81,138.12
6-Mar-18,3359327.1,1.48,22.61,17.1,72.75,0,1.45,99.78,209.94
7-Mar-18,3359327.1,1.2,23.16,12.1,52.06,0,1.45,100.01,209.69
8-Mar-18,3359327.1,1.62,22,14.31,63,0,1.76,100.03,161.19
9-Mar-18,3359327.1,1.3,23.16,15.08,61.56,0,1.76,99.89,135.44
10-Mar-18,3359327.1,1.45,23.01,13.3,56.62,0,1.78,99.89,184.69
11-Mar-18,7121027.1,1.3,22.87,13.01,55.38,0.11,1.72,100.01,95.12
12-Mar-18,7121027.1,1.3,22.93,15.33,63.75,0.79,1.71,99.93,108
13-Mar-18,7121027.1,1.09,23.15,17.43,70.88,1.35,1.04,99.9,86.75
14-Mar-18,7121027.1,1.34,23.06,17.59,72.19,0,1.38,99.8,112.25
15-Mar-18,7121027.1,1.22,24.24,19.01,73.38,0.45,1.45,99.72,159.62
16-Mar-18,7121027.1,1.73,23.54,20.12,82,6.81,0.87,99.59,207.94
17-Mar-18,7121027.1,1.09,23.98,19.66,78,4.48,1.24,99.72,175.38
18-Mar-18,7121027.1,1.19,24.37,18.18,69.75,0.68,1.56,99.94,154.25
19-Mar-18,7121027.1,1.24,24.41,14.86,57.06,0,1.86,100.02,128.75
20-Mar-18,7121027.1,1.32,24.05,15.53,60.44,0,1.88,99.82,147.69
21-Mar-18,4056922.7,1.37,24.88,16.09,59.56,0,1.83,99.75,153.19
22-Mar-18,4056922.7,1.34,25.08,17.15,63.19,0,1.62,99.56,113.81
23-Mar-18,4619669,1.16,25.08,18.51,67.75,0.87,1.34,99.63,193.19
24-Mar-18,4619669,1.03,25.45,19.55,70.56,0,1.41,99.94,183.88
25-Mar-18,4619669,1.23,25.83,19.11,67.56,6.98,1.62,100.05,163.19
26-Mar-18,4619669,1.21,25.94,19.5,69,3.31,1.45,99.91,175
27-Mar-18,4619669,0.99,25,19.75,73.44,18.5,1.19,99.83,124.12
28-Mar-18,4619669,1.07,24.9,19.84,74.12,0.81,1.28,99.79,158.69
29-Mar-18,4619669,1.11,25.41,20.19,73.69,9.2,1.44,99.74,126.38
30-Mar-18,4619669,1.04,24.93,20.67,78.12,21.24,1.54,99.75,99.94
31-Mar-18,4619669,1.48,24.55,18.36,69.31,16.62,0.95,99.81,54
1-Apr-18,4619669,1.67,24.91,18.12,67.56,0.3,1.66,99.77,142.69
2-Apr-18,2210698.8,1.35,25.62,18.88,68.38,0,1.19,99.78,157.12
3-Apr-18,2210698.8,1.43,25.57,19.84,71.62,0.22,1.66,99.71,135.5
4-Apr-18,2210698.8,1.22,26.24,19.53,68.12,0.72,1.8,99.58,157.5
5-Apr-18,2210698.8,1.21,25.26,20.11,74,3.83,1.59,99.5,181
6-Apr-18,2210698.8,1.12,25.01,20.17,75.31,29.84,1.08,99.72,70.38
7-Apr-18,2210698.8,1.41,25.76,20.72,74.69,2.22,1.52,99.85,130.44
8-Apr-18,2210698.8,0.92,23.33,21.68,90.5,8.84,0.9,99.97,117.38
9-Apr-18,2210698.8,1.17,24.98,21.71,82.69,15.2,1.82,99.92,181.88
10-Apr-18,2210698.8,1.08,25.69,21.75,79.31,12.77,1.63,99.78,199.81
11-Apr-18,2210698.8,1.3,25.03,21.42,81.06,17.85,1.35,99.7,161.38
12-Apr-18,2210698.8,1.41,25.37,21.52,79.75,9.98,1.84,99.58,233.5
13-Apr-18,2210698.8,1.41,25.42,20.9,76.94,4.74,1.95,99.65,226.69
14-Apr-18,2210603.9,1.16,25.96,22.12,79.81,37.28,1.5,99.61,131.25
15-Apr-18,2210603.9,1.19,26.26,21.87,77.88,2.42,1.9,99.65,120.75
16-Apr-18,1915767.8,1.02,27.55,20.48,66.44,8.96,2,99.72,150.75
17-Apr-18,1915767.8,1.09,27.49,21.15,69.25,8.87,0.89,99.76,166.69
18-Apr-18,1915767.8,1.2,26.35,21.95,77.25,8.01,1.97,99.61,192.62
19-Apr-18,1915767.8,1.33,25.76,22.62,83.31,20.17,1.7,99.48,182.44
20-Apr-18,1915767.8,1.44,26.32,23.68,86.06,26.7,1.65,99.49,166.94
21-Apr-18,1915767.8,1.91,26.39,24.4,89.31,60.67,0.96,99.45,191.44
22-Apr-18,1915767.8,1.74,26.87,24.46,87.31,18.12,1.41,99.55,213.31
23-Apr-18,1915767.8,1.12,26.87,23.58,82.88,2.55,1.9,99.61,207.94
24-Apr-18,1915767.8,1.13,26.75,20.28,69.62,16.82,2.08,99.56,145.88
25-Apr-18,1915767.8,1.35,26.4,21.12,73.94,4.03,2.38,99.46,152.19
26-Apr-18,2013620.8,0.89,27.15,18.58,61.12,10.78,1.62,99.6,154.38
27-Apr-18,2013620.8,0.92,26.41,20.09,68.94,8.82,1.23,99.8,116.38
28-Apr-18,2475041.6,1.26,26.9,21.49,73.31,4.07,1.94,99.71,166.5
29-Apr-18,2475041.6,1.44,24.98,22.8,87.81,100.35,0.41,99.59,110.31
30-Apr-18,2475041.6,1.1,24.93,22.18,85.31,60.52,0.4,99.6,120
1-May-18,2475041.6,1.02,25.22,21.92,82.75,45.04,1.47,99.61,114.88
2-May-18,2475041.6,1.33,25.26,21.59,80.5,9.47,1.47,99.69,83.81
3-May-18,2475041.6,1.16,25.95,22.21,80.31,7.46,2.09,99.79,108.06
4-May-18,2475041.6,0.95,25.81,23.07,85.31,33.73,0.95,99.66,166.94
5-May-18,2475041.6,1.95,25.98,24.2,90.38,43.38,1.3,99.56,226.19
6-May-18,2475041.6,2.35,26.76,24.94,90.25,24.05,1.58,99.54,205.81
7-May-18,2475041.6,2.05,26.87,25.08,90.44,34.8,0.97,99.38,205.19
8-May-18,5554479.6,1.89,27.08,25.23,90.06,34.09,0.91,99.34,185.12
9-May-18,5554479.6,1.66,26.91,25.23,90.88,37.74,0.69,99.51,167.69
10-May-18,6984255.3,1.32,26.43,24.52,89.62,44.73,0.87,99.74,148.25
11-May-18,6984255.3,0.88,26.48,23.55,84.62,23.73,1.41,99.61,97.81
12-May-18,6984255.3,1.03,26.35,22.78,81.12,2.76,2.02,99.64,97.44
13-May-18,6984255.3,1.1,27.01,23,79.31,3.41,1.92,99.6,142.44
14-May-18,6984255.3,1.48,26.26,24.15,88.31,2.5,1.95,99.62,210.88
15-May-18,6984255.3,1.4,26.01,24.23,90.19,11.46,1.81,99.48,196.19
16-May-18,6984255.3,1.24,25.52,23.46,88.81,35.68,1.48,99.43,184.25
17-May-18,6984255.3,1.1,26.28,23.29,84.25,13.64,1.34,99.37,138
18-May-18,6984255.3,1.77,26.34,24.2,88.38,17.31,1.09,99.28,166.56
19-May-18,6984255.3,1.96,26.42,24.35,88.94,18.33,1.55,99.25,181.88
20-May-18,6984255.3,2.52,26.8,24.98,90.12,31.18,1.54,99.32,204.69
21-May-18,6984255.3,1.84,26.91,25.16,90.5,17.78,1,99.34,201.62
22-May-18,4758795.7,1.77,26.85,25.28,91.38,12.52,1.27,99.43,209.56
23-May-18,4758795.7,1.45,27.22,25.37,90,4.15,1.43,99.42,205.88
24-May-18,4758795.7,1.67,26.94,25.23,90.62,46.74,0.62,99.3,202.62
25-May-18,4758795.7,1.89,26.96,25.62,92.5,70.24,1.48,99.22,207.19
26-May-18,4758795.7,1.45,27.55,26.11,92,54.6,1.45,99.26,202.06
27-May-18,4758795.7,1.16,28.35,25.94,87.06,31.85,2.06,99.31,221.62
28-May-18,4758795.7,0.72,28.42,25.52,84.75,21.3,2.2,99.05,165.88
29-May-18,4758795.7,1.07,29,23.66,74,16.48,2.02,98.96,137.25
30-May-18,4758795.7,1.72,28.68,24.19,77.69,3.64,2.08,98.96,164.25
31-May-18,4758795.7,1.61,27.68,25.63,88.75,52.01,0.67,99.34,204.25
1-Jun-18,6011953.7,0.98,27.15,25.24,89.44,8.84,1.4,99.52,207.31
2-Jun-18,6011953.7,0.9,27.45,24.61,84.75,29.82,1.95,99.38,174.5
3-Jun-18,5710011.8,1.27,28.3,25.69,86,5.34,2.08,99.1,222.56
4-Jun-18,5710011.8,0.8,28.16,25.57,86,9.75,2.05,99.14,148.81
5-Jun-18,5710011.8,0.95,29.94,25.34,77.94,7.67,2.46,99.24,216.12
6-Jun-18,5710011.8,1.29,28.97,26.31,86.38,23.98,2.12,99.25,247.81
7-Jun-18,5710011.8,1.63,28.16,25.88,87.75,17.01,1.9,99.03,236.12
8-Jun-18,5710011.8,1.2,29.01,25.68,82.69,5.21,2.08,98.76,169
9-Jun-18,5710011.8,1.44,29.34,26.29,84,9.8,2.2,98.42,105.44
10-Jun-18,5710011.8,2.91,28.78,26.4,87.56,20.55,2.36,98.18,83
11-Jun-18,5710011.8,3.06,28.56,25.92,86.19,48.38,1.46,97.94,102.06
12-Jun-18,5710011.8,3.07,27.78,26.58,93.25,71.68,1.17,98.06,217.94
13-Jun-18,10626318,2.05,27.19,26.18,94.25,95.01,0.84,98.27,186.25
14-Jun-18,10626318,2.3,27.9,26.83,94,80.83,0.53,98.49,186.12
15-Jun-18,17578550.2,1.78,27.39,26.38,94.31,94.73,0.44,98.72,157.5
16-Jun-18,17578550.2,1.74,27.27,25.78,91.69,30.16,0.97,98.92,119.31
17-Jun-18,17578550.2,1.05,28.34,26.04,87.69,32.24,1.09,98.85,150.06
18-Jun-18,17578550.2,1.19,28.77,26.44,87.69,27,1.53,98.78,172.31
19-Jun-18,17578550.2,1.1,29.1,26.45,86.19,35.81,1.41,98.87,198.44
20-Jun-18,17578550.2,1.19,28.84,26.58,87.94,2.59,1.7,99.03,226.25
21-Jun-18,17578550.2,1.59,28.04,26.58,91.88,14.22,1.65,99.08,224.25
22-Jun-18,17578550.2,1.54,28.19,26.41,90.25,25.53,2.14,99.07,211.62
23-Jun-18,17578550.2,2.02,28.08,26.46,91.25,81.55,1.59,99,198.81
24-Jun-18,17578550.2,2.5,27.62,26.11,91.62,49.32,1.79,98.9,199.94
25-Jun-18,17696312.5,2.17,28.08,26.49,91.31,44.47,0.91,98.72,206.81
26-Jun-18,17696312.5,1.62,27.99,25.69,87.69,19.05,1.69,98.78,191.19
27-Jun-18,15333990.2,1.48,28.96,26.27,86.06,18.56,2.19,99,199.19
28-Jun-18,15333990.2,1.64,27.75,26.05,90.75,7.89,2.18,99.26,202.62
